,period,value,time,start_at
1943,7,0.56427723,1712239200.0,2024-04-04 14:00:00+00:00
1944,7,0.56287738,1712242800.0,2024-04-04 15:00:00+00:00
1945,7,0.56325477,1712246400.0,2024-04-04 16:00:00+00:00
1946,7,0.56365669,1712250000.0,2024-04-04 17:00:00+00:00
1947,7,0.56921603,1712253600.0,2024-04-04 18:00:00+00:00
1948,7,0.57310054,1712257200.0,2024-04-04 19:00:00+00:00
1949,7,0.57366087,1712260800.0,2024-04-04 20:00:00+00:00
1950,7,0.58037054,1712264400.0,2024-04-04 21:00:00+00:00
1951,7,0.58024194,1712268000.0,2024-04-04 22:00:00+00:00
1952,7,0.58030494,1712271600.0,2024-04-04 23:00:00+00:00
1953,7,0.58132909,1712275200.0,2024-04-05 00:00:00+00:00
1954,7,0.58120440,1712278800.0,2024-04-05 01:00:00+00:00
1955,7,0.58431943,1712282400.0,2024-04-05 02:00:00+00:00
1956,7,0.58825745,1712286000.0,2024-04-05 03:00:00+00:00
1957,7,0.59539090,1712289600.0,2024-04-05 04:00:00+00:00
1958,7,0.59583497,1712293200.0,2024-04-05 05:00:00+00:00
1959,7,0.59654554,1712296800.0,2024-04-05 06:00:00+00:00
1960,7,0.58815013,1712300400.0,2024-04-05 07:00:00+00:00
1961,7,0.58695444,1712304000.0,2024-04-05 08:00:00+00:00
1962,7,0.58695343,1712307600.0,2024-04-05 09:00:00+00:00
1963,7,0.58585171,1712311200.0,2024-04-05 10:00:00+00:00
1964,7,0.58584682,1712314800.0,2024-04-05 11:00:00+00:00
1965,7,0.58944894,1712318400.0,2024-04-05 12:00:00+00:00
1966,7,0.59073477,1712322000.0,2024-04-05 13:00:00+00:00
1967,7,0.59294767,1712325600.0,2024-04-05 14:00:00+00:00
1968,7,0.58814557,1712329200.0,2024-04-05 15:00:00+00:00
1969,7,0.58827957,1712332800.0,2024-04-05 16:00:00+00:00
1970,7,0.58825078,1712336400.0,2024-04-05 17:00:00+00:00
1971,7,0.58822957,1712340000.0,2024-04-05 18:00:00+00:00
1972,7,0.58883403,1712343600.0,2024-04-05 19:00:00+00:00
1973,7,0.58894420,1712347200.0,2024-04-05 20:00:00+00:00
1974,7,0.58952677,1712350800.0,2024-04-05 21:00:00+00:00
1975,7,0.58493429,1712354400.0,2024-04-05 22:00:00+00:00
1976,7,0.58465549,1712358000.0,2024-04-05 23:00:00+00:00
1977,7,0.58460282,1712361600.0,2024-04-06 00:00:00+00:00
1978,7,0.58481886,1712365200.0,2024-04-06 01:00:00+00:00
1979,7,0.58485833,1712368800.0,2024-04-06 02:00:00+00:00
1980,7,0.58402767,1712372400.0,2024-04-06 03:00:00+00:00
1981,7,0.58326324,1712376000.0,2024-04-06 04:00:00+00:00
1982,7,0.58324642,1712379600.0,2024-04-06 05:00:00+00:00
1983,7,0.58331376,1712383200.0,2024-04-06 06:00:00+00:00
1984,7,0.58334175,1712386800.0,2024-04-06 07:00:00+00:00
1985,7,0.58322916,1712390400.0,2024-04-06 08:00:00+00:00
1986,7,0.58329576,1712394000.0,2024-04-06 09:00:00+00:00
1987,7,0.58283278,1712397600.0,2024-04-06 10:00:00+00:00
1988,7,0.57860288,1712401200.0,2024-04-06 11:00:00+00:00
1989,7,0.57867612,1712404800.0,2024-04-06 12:00:00+00:00
1990,7,0.57850212,1712408400.0,2024-04-06 13:00:00+00:00
1991,7,0.57899048,1712412000.0,2024-04-06 14:00:00+00:00
1992,7,0.58013918,1712415600.0,2024-04-06 15:00:00+00:00
1993,7,0.57999171,1712419200.0,2024-04-06 16:00:00+00:00
1994,7,0.57982841,1712422800.0,2024-04-06 17:00:00+00:00
1995,7,0.57972931,1712426400.0,2024-04-06 18:00:00+00:00
1996,7,0.57897724,1712430000.0,2024-04-06 19:00:00+00:00
1997,7,0.57900197,1712433600.0,2024-04-06 20:00:00+00:00
1998,7,0.57973863,1712437200.0,2024-04-06 21:00:00+00:00
1999,7,0.58000395,1712440800.0,2024-04-06 22:00:00+00:00
2000,7,0.58277428,1712444400.0,2024-04-06 23:00:00+00:00
2001,7,0.58468635,1712448000.0,2024-04-07 00:00:00+00:00
2002,7,0.58477949,1712451600.0,2024-04-07 01:00:00+00:00
2003,7,0.58838780,1712455200.0,2024-04-07 02:00:00+00:00
2004,7,0.58833594,1712458800.0,2024-04-07 03:00:00+00:00
2005,7,0.58833008,1712462400.0,2024-04-07 04:00:00+00:00
2006,7,0.57467285,1712466000.0,2024-04-07 05:00:00+00:00
2007,7,0.57497610,1712469600.0,2024-04-07 06:00:00+00:00
2008,7,0.57530045,1712473200.0,2024-04-07 07:00:00+00:00
2009,7,0.57517977,1712476800.0,2024-04-07 08:00:00+00:00
2010,7,0.57476530,1712480400.0,2024-04-07 09:00:00+00:00
2011,7,0.57497875,1712484000.0,2024-04-07 10:00:00+00:00
2012,7,0.57526387,1712487600.0,2024-04-07 11:00:00+00:00
2013,7,0.57500322,1712491200.0,2024-04-07 12:00:00+00:00
2014,7,0.57530195,1712494800.0,2024-04-07 13:00:00+00:00
2015,7,0.57545348,1712498400.0,2024-04-07 14:00:00+00:00
2016,7,0.57543815,1712502000.0,2024-04-07 15:00:00+00:00
2017,7,0.57658540,1712505600.0,2024-04-07 16:00:00+00:00
2018,7,0.57664033,1712509200.0,2024-04-07 17:00:00+00:00
2019,7,0.57683151,1712512800.0,2024-04-07 18:00:00+00:00
2020,7,0.57646912,1712516400.0,2024-04-07 19:00:00+00:00
