,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,losscut_rate,entrytime,exittime,direction,startup_flag
23,211850,746.6119006520913,731.3575275613739,1.0,USDT,0.011,67057.4,70410.26999999999,68369.5,134931.20915019012,-15.254373090717381,0,SHORT_EXIT,0,0,0.05,2024-10-15,2024-10-19 00:00:00,upper,0
24,211851,731.3575275613739,757.2759432857157,1.0,USDT,0.011,69034.0,72485.7,66604.64463594006,135521.0479601249,25.918415724341788,0,SHORT_EXIT,0,0,0.05,2024-10-20,2024-10-22 00:00:00,upper,0
25,211852,757.2759432857157,740.2556393943399,1.1,USDT,0.012,66659.1,69689.0590909091,68001.1,129765.42860714298,-17.020303891375757,0,SHORT_EXIT,0,0,0.05,2024-10-23,2024-10-27 00:00:00,upper,0
26,211853,740.2556393943399,687.2155909876724,2.0,USDT,0.021,69947.6,72395.766,72395.766,105197.86854258762,-53.040048406667516,0,SHORT_EXIT,0,losscut,0.07,2024-10-28,2024-10-29 00:00:00,upper,0
27,211854,687.2155909876724,637.5668271874995,2.0,USDT,0.019,72386.3,69852.7795,69852.7795,36217.05836906988,-49.64876380017293,1,LONG_EXIT,0,losscut,0.07,2024-10-30,2024-10-31 00:00:00,upper,0
28,211855,637.5668271874995,676.8830334534114,2.0,USDT,0.018,69495.5,71927.8425,67233.34148412642,104915.87928819441,39.31620626591194,0,SHORT_EXIT,0,0,0.07,2024-11-01,2024-11-04 00:00:00,upper,0
29,211856,676.8830334534114,626.851900779814,2.0,USDT,0.02,69345.7,71772.7995,71772.7995,103189.85167267057,-50.03113267359745,0,SHORT_EXIT,0,losscut,0.07,2024-11-05,2024-11-06 00:00:00,upper,0
30,211857,626.851900779814,651.4198553222171,1.3,USDT,0.011,75874.8,72372.88615384616,78189.74116004712,18888.26356547146,24.56795454240316,1,LONG_EXIT,0,0,0.06,2024-11-07,2024-11-10 00:00:00,upper,0
31,211858,651.4198553222171,668.5482354589002,1.0,USDT,0.007,88765.4,93203.67,86216.1225746375,181825.3793317453,17.128380136683035,0,SHORT_EXIT,0,0,0.05,2024-11-11,2024-11-12 00:00:00,upper,0
32,211859,668.5482354589002,664.2344323998956,1.0,USDT,0.007,90411.2,85890.64,89900.0,-5095.690779842887,-4.313803059004664,1,LONG_EXIT,0,0,0.05,2024-11-13,2024-11-17 00:00:00,upper,0
33,211860,664.2344323998956,684.3651102493917,1.0,USDT,0.007,90535.0,86008.25,93515.19081787656,-4355.633199985081,20.130677849496088,1,LONG_EXIT,0,0,0.05,2024-11-18,2024-11-19 00:00:00,upper,0
34,211861,684.3651102493917,704.5129271392941,1.0,USDT,0.007,94315.3,89599.535,97301.10264445383,-3451.144321341664,20.1478168899024,1,LONG_EXIT,0,0,0.05,2024-11-20,2024-11-21 00:00:00,upper,0
35,211862,704.5129271392941,669.1065129194408,1.0,USDT,0.007,98947.0,93999.65,93999.65,-1697.7038770420186,-35.40641421985331,1,LONG_EXIT,0,losscut,0.05,2024-11-22,2024-11-25 00:00:00,upper,0
36,211863,669.1065129194408,713.039936791446,2.0,USDT,0.015,92025.6,88804.704,95052.6305466952,47418.499138703955,43.93342387200526,1,LONG_EXIT,0,0,0.07,2024-11-26,2024-11-27 00:00:00,upper,0
37,211864,713.039936791446,754.4428901037489,2.0,USDT,0.015,95702.8,92353.202,98567.57607821627,48166.8042139036,41.40295331230287,1,LONG_EXIT,0,0,0.07,2024-11-28,2024-11-29 00:00:00,upper,0
38,211865,754.4428901037489,787.7879157455206,2.0,USDT,0.016,96484.0,93107.06,98671.8,49331.319368515695,33.345025641771684,1,LONG_EXIT,0,0,0.07,2024-11-30,2024-12-04 00:00:00,upper,0
39,211866,787.7879157455206,829.7943623291542,2.0,USDT,0.016,96977.9,93583.67349999999,99711.6237498921,47741.155265904956,42.00644658363357,1,LONG_EXIT,0,0,0.07,2024-12-05,2024-12-06 00:00:00,upper,0
40,211867,829.7943623291542,768.52057973203,2.0,USDT,0.017,99913.0,96416.045,96416.045,51101.56692181446,-61.27378259712421,1,LONG_EXIT,0,losscut,0.07,2024-12-07,2024-12-09 00:00:00,upper,0
41,211868,768.52057973203,712.7602664566197,2.0,USDT,0.016,96552.8,99932.148,99932.148,144585.33623325187,-55.760313275410354,0,SHORT_EXIT,0,losscut,0.07,2024-12-10,2024-12-11 00:00:00,upper,0
42,211869,712.7602664566197,747.7480913520524,1.8,USDT,0.013,99982.5,96094.29166666667,102782.43001715516,45154.78719564464,34.98782489543275,1,LONG_EXIT,0,0,0.07,2024-12-12,2024-12-15 00:00:00,upper,0
43,211870,747.7480913520524,709.7925984515651,1.0,USDT,0.007,106094.2,100789.48999999999,100789.48999999999,-726.9559074360586,-37.95549290048726,1,LONG_EXIT,0,losscut,0.05,2024-12-16,2024-12-18 00:00:00,upper,0
44,211871,709.7925984515651,673.5157857710751,1.1,USDT,0.008,97399.4,92972.15454545454,92972.15454545454,8675.325193554352,-36.276812680490046,1,LONG_EXIT,0,losscut,0.05,2024-12-19,2024-12-20 00:00:00,upper,0
45,211872,673.5157857710751,637.3373043975648,1.1,USDT,0.008,97249.7,92829.2590909091,92829.2590909091,13060.226778615615,-36.17848137351031,1,LONG_EXIT,0,losscut,0.05,2024-12-21,2024-12-23 00:00:00,upper,0
46,211873,637.3373043975648,652.2806695445497,1.0,USDT,0.006,98628.3,103559.715,96020.89396969629,204851.18406626082,14.943365146984922,0,SHORT_EXIT,0,0,0.05,2024-12-24,2024-12-26 00:00:00,upper,0
47,211874,652.2806695445497,646.5161608080507,1.0,USDT,0.007,94251.0,89538.45,93530.0,1068.047207921467,-5.76450873649903,1,LONG_EXIT,0,0,0.05,2024-12-27,2024-12-31 00:00:00,upper,0
