start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,mfi,roc,atr,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,exit_time,pred_v1,pred_v2,pred_v3,pred_v4,pred_v5,pred_v6,pred_v7,pred_v8,pred_v9,pred_v10,pred_v11,pred_v12,pred_v13,pred_v14,pred_v15,pred_v16,pred_v17,pred_v18,pred_target,order_id
2024-08-04 00:00:00,60682.0,61088.0,48914.1,55989.8,931593.073,50959413228.1416,2024-08-04 00:00:00,55495.42,37.54,67268.17,59065.98,63167.08,71369.27,54964.88,75470.37,50863.78,25.96,-551.92,-176.79,-375.13,15.98,37.83,17.7,18.82,399343.1529285714,39416.01,7671.6600000000035,-24.23,-16.23,63590.12,60795.07,15873.850000000006,-530.5400000000009,5299.6500000000015,8094.700000000004,-32.46,-2795.050000000003,2795.050000000003,0.0,2795.050000000003,7.539999999999999,-21.849999999999998,-375.13,16404.390000000007,-14.28,8837969.43,42.5,-9.88,5003.46,101.77684898618611,PositionState,upper,60682.0,57515.9,0.0,0.0,0,0.0,None,250.67556672489383,-10.127801654526756,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-08-07 00:00:00,55989.8,62743.1,54517.7,60814.9,536765.363,31306983027.117104,2024-08-07 00:00:00,59722.64,45.01,66717.44,58960.63,62839.03,70595.84,55082.22,74474.25,51203.82,24.68,-748.72,-291.18,-457.54,16.45,33.58,18.89,19.26,419626.30035714287,20283.14,3116.3899999999994,-1412.63,1.35,63705.23,60366.1,10873.199999999997,-4640.419999999998,643.4599999999991,3982.590000000004,-24.990000000000002,-3339.1300000000047,3339.1300000000047,0.0,3339.1300000000047,15.009999999999998,-17.13,-457.54,15513.619999999995,-14.28,9123077.49,49.45,-1.8,5233.6,-4.375351013813887,PositionState,upper,60682.0,57515.9,0.0,0.0,0,0.0,None,150.72549850037908,-52.598386671500656,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-08-10 00:00:00,60814.9,61880.0,57555.0,59316.1,348268.49899999995,20745630702.064697,2024-08-10 00:00:00,59516.8,44.73,66296.46,58748.8,62522.63,70070.29,54974.97,73844.12,51201.14,24.14,-910.79,-415.1,-495.69,15.46,31.57,19.98,20.12,430842.46471428574,11216.16,3005.8299999999945,-1191.73,1.48,63246.28,60026.38,10553.48999999999,-4541.830000000002,509.57999999999447,3729.479999999996,-25.270000000000003,-3219.9000000000015,3219.9000000000015,0.0,3219.9000000000015,14.729999999999997,-16.11,-495.68999999999994,15095.319999999992,-14.28,9058432.42,50.66,-4.75,5168.7,28.598248986186146,PositionState,upper,60682.0,57515.9,0.0,0.0,0,0.0,None,75.64639761378984,-31.263394416795926,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-08-13 00:00:00,59316.1,61950.3,56052.1,57515.9,468735.94299999997,27765749006.046196,2024-08-13 00:00:00,58258.55,42.97,65855.57,58377.48,62116.53,69594.61,54638.44,73333.65,50899.4,24.07,-1127.76,-557.63,-570.13,14.21,31.08,21.21,21.37,435792.20992857136,4949.74,3857.979999999996,-664.69,-1.74,62390.78,59319.24,11336.059999999998,-3620.1100000000006,1060.689999999995,4132.229999999996,-27.03,-3071.540000000001,3071.540000000001,0.0,3071.540000000001,12.969999999999999,-16.869999999999997,-570.13,14956.169999999998,-14.28,8822355.82,50.14,-0.41,5220.8,76.61291157180048,PositionState,upper,60682.0,57515.9,0.0,0.0,0,0.0,None,112.7966233809037,-33.001142019050256,normal,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-08-16 00:00:00,57515.9,60288.5,57071.7,58406.4,247124.075,14554934691.6959,2024-08-16 00:00:00,58543.25,43.51,65489.94,58062.49,61776.21,69203.66,54348.77,72917.38,50635.05,24.04,-1262.19,-698.54,-563.64,13.57,29.68,22.36,22.33,423869.3753571428,-11922.83,3232.959999999999,-576.95,-0.49,61418.0,59008.84,10660.410000000003,-4194.480000000003,465.5899999999965,2874.75,-26.490000000000002,-2409.1600000000035,2409.1600000000035,0.0,2409.1600000000035,13.509999999999998,-16.11,-563.6500000000001,14854.890000000007,-14.28,8780302.94,55.33,4.78,5077.66,0.0,IdleState,upper,58406.4,61910.784,0.0,-91.64999999999978,0,0.0,SHORT,15.128127054569495,-172.06368754109135,losscut,2024-08-22 00:00:00,0.08696170896291733,0.08696170896291733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,None
2024-08-19 00:00:00,58406.4,61835.0,57753.1,61120.6,413360.87,24654102056.025703,2024-08-19 00:00:00,60457.32,47.15,65300.94,58000.26,61650.6,68951.29,54349.92,72601.63,50699.58,23.68,-1200.44,-798.92,-401.51,14.99,27.95,22.92,22.89,421930.04000000004,-1939.33,1193.2799999999988,-644.47,2.5,60840.11,59588.23,8493.969999999994,-6107.4000000000015,-869.0899999999965,382.7900000000009,-22.85,-1251.8799999999974,1251.8799999999974,0.0,1251.8799999999974,17.15,-12.959999999999999,-401.5200000000001,14601.369999999995,-14.28,9048973.83,55.3,5.54,5006.54,-66.70488538464096,PositionState,upper,58406.4,61910.784,0.0,0.0,0,0.0,None,15.128127054569495,-89.70370644312939,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-08-22 00:00:00,61120.6,65041.9,59623.9,64130.3,340174.82499999995,21116803837.6735,2024-08-22 00:00:00,63231.6,51.98,65476.23,58126.12,61801.18,69151.28,54451.07,72826.34,50776.01,23.78,-917.07,-822.55,-94.51,18.38,25.8,22.48,22.0,424562.48128571425,2632.44,-1430.4199999999983,-153.53,6.95,60322.04,61045.58,5919.68,-8780.529999999999,-2186.019999999997,-2909.5599999999977,-18.020000000000003,723.5400000000009,-723.5400000000009,723.5400000000009,0.0,21.979999999999997,-7.420000000000002,-94.5200000000001,14700.21,-14.28,9274677.13,55.75,7.74,5035.93,-91.64999999999978,PositionState,upper,58406.4,61910.784,0.0,0.0,0,0.0,None,-32.917977481919614,-172.06368754109135,losscut,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-08-25 00:00:00,64130.3,64992.6,57869.5,59366.7,331759.921,20681605720.753998,2024-08-25 00:00:00,60398.87,47.23,65346.88,57988.37,61667.62,69026.13,54309.11,72705.39,50629.85,23.86,-910.58,-840.16,-70.42,16.58,25.68,22.41,21.32,417586.40421428566,-6976.07,1268.75,216.8,1.7,59703.28,60786.89,8627.260000000002,-6089.760000000002,388.0199999999968,-695.5900000000038,-22.770000000000003,1083.6100000000006,-1083.6100000000006,1083.6100000000006,0.0,17.229999999999997,-9.100000000000001,-70.42000000000007,14717.020000000004,-14.28,9082382.03,49.26,-5.1,5185.01,0.0,IdleState,upper,59366.7,55804.698,0.0,-85.54,1,0.0,LONG,40.48355866167386,-92.70188031337425,losscut,2024-09-03 00:00:00,0.9880212545394897,0.9880212545394897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-08-28 00:00:00,59366.7,61148.7,57665.7,59100.9,429102.126,25437638828.3554,2024-08-28 00:00:00,59254.05,45.43,65133.6,57741.92,61437.76,68829.43,54046.08,72525.27,50350.24,24.06,-986.44,-869.42,-117.02,15.76,24.71,22.39,20.86,422607.54135714285,5021.13,2183.709999999999,-58.82,-1.65,59430.94,60173.75,9575.37999999999,-5207.970000000001,919.6999999999971,176.88999999999942,-24.57,742.8099999999977,-742.8099999999977,742.8099999999977,0.0,15.43,-8.950000000000001,-117.0200000000001,14783.349999999991,-14.28,9006910.32,42.46,-10.16,5063.44,-7.270331037356464,PositionState,upper,59366.7,55804.698,0.0,0.0,0,0.0,None,40.48355866167386,-41.6533969043251,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-08-31 00:00:00,59100.9,59437.7,56913.4,59116.7,246000.677,14328163911.660099,2024-08-31 00:00:00,58646.12,44.46,64862.73,57481.05,61171.89,68553.57,53790.21,72244.41,50099.36,24.13,-1083.13,-912.16,-170.97,15.18,24.9,22.52,20.3,422074.1019285714,-533.43,2525.769999999997,-216.68,-1.58,59781.02,59562.7,9907.450000000004,-4855.9100000000035,916.5799999999945,1134.8999999999942,-25.54,-218.3199999999997,218.3199999999997,0.0,0.0,14.46,-9.719999999999999,-170.97000000000014,14763.360000000008,-14.28,9190346.16,38.01,-12.85,4882.07,-6.9227310373564075,PositionState,upper,59366.7,55804.698,0.0,0.0,0,0.0,None,0.13433931816981382,-59.39431900375124,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
